name,special,level,race,rank,description,form_id
Arms Keeper,S,28,"Human, Ghoul",1,Your weapons weigh 50% less.,006D51E7
Arms Keeper,S,28,"Human, Ghoul",2,Your weapons weigh 75% less.,
Arms of Steel,S,70,Ghoul,1,"Your sturdy arms allow you to handle ranged weapons better, increasing accuracy by 15%",00797E02
Arms of Steel,S,70,Ghoul,2,"Your sturdy arms allow you to handle ranged weapons better, increasing accuracy by 30%",
Bandolier,S,22,"Human, Ghoul",1,Ballistic weapon ammo weighs 45% less.,003896E6
Bandolier,S,22,"Human, Ghoul",2,Ballistic weapon ammo weighs 90% less.,
Barbarian,S,14,"Human, Ghoul",1,Gain Damage Resistance based on your STR. Doubled when not wearing armor.,00242E66
Basher,S,11,"Human, Ghoul",1,Gun bashing does +25% damage and +35% limb damage.,00188F1F
Basher,S,11,"Human, Ghoul",2,Gun bashing does +50% damage and +75% limb damage.,
Bear Arms,S,35,"Human, Ghoul",1,Each stack of Bullet Storm increases your bash damage by 5%.,0016AFE9
Blocker,S,21,"Human, Ghoul",1,Take 15% less damage from your opponents' melee attacks.,003D2954
Blocker,S,21,"Human, Ghoul",2,Take 30% less damage from your opponents' melee attacks.,
Blocker,S,21,"Human, Ghoul",3,Take 45% less damage from your opponents' melee attacks.,
Blood Luster,S,35,"Human, Ghoul",1,Your bleed effects have 35% more damage and 25% less duration.,00123A60
Bone shatterer,S,90,Ghoul,1,Your melee weapon attacks have +25% limb damage.,00797E1A
Bone shatterer,S,90,Ghoul,2,Your melee weapon attacks have +50% limb damage.,
Bone shatterer,S,90,Ghoul,3,Your melee weapon attacks have +75% limb damage.,
Brick Wall,S,100,Ghoul,2,"When your Glow is high, makes you immune to staggering attacks.",00797E1C
Bringing the Big Guns,S,50,"Human, Ghoul",3,Your Bullet Storm stack limit is doubled.,001C9D2E
Bullet Storm,S,30,"Human, Ghoul",1,Gain 3% damage per 30 ammo spent. 10 max stacks.,0031AF17
Bullet Storm,S,30,"Human, Ghoul",2,Gain 6% damage per 30 ammo spent. 10 max stacks.,
Bullet Storm,S,30,"Human, Ghoul",3,Gain 9% damage per 30 ammo spent. 10 max stacks.,
Easy Target,S,5,"Human, Ghoul",1,+25% ranged damage to crippled targets.,00202049
Easy Target,S,5,"Human, Ghoul",2,+50% ranged damage to crippled targets.,
Easy Target,S,5,"Human, Ghoul",3,+75% ranged damage to crippled targets.,
Full Charge,S,33,"Human, Ghoul",1,Sprinting in Power Armor consumes half as much Fusion Core energy.,003BD596
Full Charge,S,33,"Human, Ghoul",2,Sprinting in Power Armor consumes no extra Fusion Core energy.,
Heavy Hitter,S,35,"Human, Ghoul",3,Melee weapons deal +25% power attack damage. (No Power Tools),00520BD9
Incisor,S,34,"Human, Ghoul",1,Your Melee and Fists weapons ignore 25% of your target's armor.,003DE58E
Incisor,S,34,"Human, Ghoul",2,Your Melee and Fists weapons ignore 50% of your target's armor.,
Incisor,S,34,"Human, Ghoul",3,Your Melee and Fists weapons ignore 75% of your target's armor.,
Iron Fist,S,2,"Human, Ghoul",1,Your Fists deal more damage based on your DR.,0035206D
Knee-Capper,S,15,"Human, Ghoul",2,Melee weapons deal +50% limb damage. (No Power Tools),00520BD8
Lock and Load,S,37,"Human, Ghoul",2,You keep half of your Bullet Storm stacks when you reload. +1% reload speed per stack.,0032016B
Love the Spread,S,20,"Human, Ghoul",2,Weapons that fire 3 or more projectiles gain 30% range.,00223BAB
Martial Artist,S,16,"Human, Ghoul",1,"Your melee weapons weigh 20% less, and you can swing them 10% faster.",003E996D
Martial Artist,S,16,"Human, Ghoul",2,"Your melee weapons weigh 40% less, and you can swing them 20% faster.",
Martial Artist,S,16,"Human, Ghoul",3,"Your melee weapons weigh 60% less, and you can swing them 30% faster.",
Natural Stance,S,15,"Human, Ghoul",1,"While equipping a melee weapon, reduce Incoming Stagger by 25%.",00123A5F
Ordnance Express,S,31,"Human, Ghoul",1,Explosives weigh 45% less.,00391F0D
Ordnance Express,S,31,"Human, Ghoul",2,Explosives weigh 90% less.,
Pack Rat,S,7,"Human, Ghoul",1,The weight of all junk items is reduced by 50%.,0038AB9B
Pack Rat,S,7,"Human, Ghoul",2,The weight of all junk items is reduced by 75%.,
Pain Train,S,41,"Human, Ghoul",1,Damage and stagger enemies by sprinting into them with Power Armor.,00391F26
Pain Train,S,41,"Human, Ghoul",2,Smash and stagger enemies by sprinting into them with Power Armor.,
Pain Train,S,41,"Human, Ghoul",3,Devastate and stagger enemies by sprinting into them with Power Armor.,
Portable Power,S,24,"Human, Ghoul",1,All Power Armor parts and chassis weights are reduced by 50%.,00310D59
Portable Power,S,24,"Human, Ghoul",2,All Power Armor parts and chassis weights are reduced by 75%.,
Radioactive Strength,S,80,Ghoul,1,Expend a Moderate amount of Glow to deal 50% more damage with Power Attacks & Bashing.,00797E01
Radioactive Strength,S,80,Ghoul,2,Expend a Moderate amount of Glow to deal 100% more damage with Power Attacks & Bashing.,
Radioactive Strength,S,80,Ghoul,3,Expend a Moderate amount of Glow to deal 150% more damage with Power Attacks & Bashing.,
Scattershot,S,18,"Human, Ghoul",2,20% of the damage dealt to a limb is applied to all limbs on your target.,0032235E
Shotgun Champ,S,40,"Human, Ghoul",3,+10% damage to crippled targets per projectile your weapon fires.,00202047
Slugger,S,2,"Human, Ghoul",1,Your melee weapons do +10% damage to crippled targets.,0025A233
Slugger,S,2,"Human, Ghoul",2,Your melee weapons do +20% damage to crippled targets.,
Slugger,S,2,"Human, Ghoul",3,Your melee weapons do +30% damage to crippled targets.,
Strong Arm,S,5,"Human, Ghoul",1,50% increased throwing range.,003701BD
Strong Back,S,26,"Human, Ghoul",2,Gain more carry weight based on your STR.,000907CF
Sturdy Frame,S,13,"Human, Ghoul",1,Armor weighs 25% less than normal.,0025A7A4
Sturdy Frame,S,13,"Human, Ghoul",2,Armor weighs 50% less than normal.,
Tightly Wound,S,40,"Human, Ghoul",2,Weapons spin up 60% faster.,0031AF18
Traveling Pharmacy,S,3,"Human, Ghoul",1,Weights of all Chems (including Stimpaks) are reduced by 45%.,0010BCCE
Traveling Pharmacy,S,3,"Human, Ghoul",2,Weights of all Chems (including Stimpaks) are reduced by 90%.,
Wound Salter,S,2,"Human, Ghoul",1,+10% damage against bleeding targets.,003440AD
Wound Salter,S,2,"Human, Ghoul",2,+20% damage against bleeding targets.,
Wound Salter,S,2,"Human, Ghoul",3,+30% damage against bleeding targets.,
Wrecking Ball,S,29,"Human, Ghoul",1,You deal +100% damage to objects and now damage your own objects.,00185A2C
Awareness,P,20,"Human, Ghoul",2,Gain more VATS accuracy based on your PER.,003777F9
Bow Before Me,P,6,"Human, Ghoul",1,Your bows and crossbows ignore 20% armor and have a 5% chance to stagger.,00563B9B
Bow Before Me,P,6,"Human, Ghoul",2,Your bows and crossbows ignore 40% armor and have a 10% chance to stagger.,
Breathe It In,P,60,Ghoul,1,Rad Resistance is reduced by 50. (Up to 0),00797E18
Breathe It In,P,60,Ghoul,2,Rad Resistance is reduced by 100. (Up to 0),
Breathe It In,P,60,Ghoul,3,Rad Resistance is reduced by 150. (Up to 0),
Butcher's Bounty,P,3,"Human, Ghoul",1,40% chance to find extra meat from animal corpses.,001873CE
Butcher's Bounty,P,3,"Human, Ghoul",2,60% chance to find extra meat from animal corpses.,
Butcher's Bounty,P,3,"Human, Ghoul",3,80% chance to find extra meat from animal corpses.,
Center Masochist,P,5,"Human, Ghoul",1,+25% ranged damage when attacking the torso.,0031AEF6
Center Masochist,P,5,"Human, Ghoul",2,+50% ranged damage when attacking the torso.,
Center Masochist,P,5,"Human, Ghoul",3,+75% ranged damage when attacking the torso.,
Concentrated Fire,P,2,"Human, Ghoul",1,Focus fire to gain +1% accuracy and damage per shot.,0035206C
Concentrated Fire,P,2,"Human, Ghoul",2,Focus fire to gain +2% accuracy and damage per shot.,
Concentrated Fire,P,2,"Human, Ghoul",3,Focus fire to gain +3% accuracy and damage per shot.,
Crack Shot,P,7,"Human, Ghoul",1,Small guns have 10% more range and 10% more accuracy when aiming down sights.,0031D4B3
Crack Shot,P,7,"Human, Ghoul",2,Small guns have 20% more range and 20% more accuracy when aiming down sights.,
Crack Shot,P,7,"Human, Ghoul",3,Small guns have 30% more range and 30% more accuracy when aiming down sights.,
Deal Sealer,P,15,"Human, Ghoul",2,Deal +10% damage for each impairment your target has.,00563B93
Down Ranger,P,2,"Human, Ghoul",1,You do +10% ranged damage to far enemies.,000907C9
Down Ranger,P,2,"Human, Ghoul",2,You do +15% ranged damage to far enemies.,
Down Ranger,P,2,"Human, Ghoul",3,You do +20% ranged damage to far enemies.,
Exterminator,P,14,"Human, Ghoul",1,Your attacks ignore 25% armor of any insect.,0032DA6E
Exterminator,P,14,"Human, Ghoul",2,Your attacks ignore 50% armor of any insect.,
Exterminator,P,14,"Human, Ghoul",3,Your attacks ignore 75% armor of any insect.,
Eye of the Hunter,P,85,Ghoul,1,Your vision grants you +20% accuracy in V.A.T.S. from a slightly longer distance.,00797E06
Eye of the Hunter,P,85,Ghoul,2,Your vision grants you +25% accuracy in V.A.T.S. from a longer distance.,
Eye of the Hunter,P,85,Ghoul,3,Your vision grants you +30% accuracy in V.A.T.S. from a very long distance.,
Fast Fighter,P,20,"Human, Ghoul",2,Your movement speed bonus is also applied to your reload speed.,0031AEF7
Fortune Finder,P,22,"Human, Ghoul",1,You hear directional audio when in range of a Caps Stash.,0051ABC9
Glow Sight,P,33,"Human, Ghoul",1,Deal +20% damage to Glowing Enemies.,00393F65
Glow Sight,P,33,"Human, Ghoul",2,Deal +40% damage to Glowing Enemies.,
Glow Sight,P,33,"Human, Ghoul",3,Deal +60% damage to Glowing Enemies.,
Glowing Hunter,P,75,Ghoul,1,Traces of glowing blood now have a 50% chance to appear on animal corpses.,007B283D
Green Thumb,P,4,"Human, Ghoul",1,Reap twice as much when harvesting flora.,00350FD8
Grenadier,P,35,"Human, Ghoul",1,Your explosives detonate with a 50% larger radius.,00393F6A
Grenadier,P,35,"Human, Ghoul",2,Your explosives detonate with twice the radius.,
Ground Pounder,P,18,"Human, Ghoul",1,Your small guns reload 10% faster and have 10% more hip fire accuracy.,000907E5
Ground Pounder,P,18,"Human, Ghoul",2,Your small guns reload 20% faster and have 20% more hip fire accuracy.,
Ground Pounder,P,18,"Human, Ghoul",3,Your small guns reload 30% faster and have 30% more hip fire accuracy.,
Hat Trick,P,2,"Human, Ghoul",1,Arrows and throwing weapons bounce towards an additional target dealing 70% damage.,00563B8F
Hat Trick,P,2,"Human, Ghoul",2,Arrows and throwing weapons bounce towards two additional targets dealing 70% damage per bounce.,
Hat Trick,P,2,"Human, Ghoul",3,Arrows and throwing weapons bounce towards three additional targets dealing 70% damage.,
Long Shot,P,37,"Human, Ghoul",1,Your scoped weapons have 30% more range and accuracy when aiming.,0031D4B9
Master Archer,P,35,"Human, Ghoul",3,Arrows and thrown melee weapons pierce targets.,00563B97
Night Eyes,P,50,"Human, Ghoul",2,Gain Night Vision while sneaking.,0025A7A1
Night Person,P,24,"Human, Ghoul",1,Gain +1 INT and +1 PER between the hours of 6:00 p.m. and 6:00 a.m.,00188F07
Night Person,P,24,"Human, Ghoul",2,Gain +2 INT and +2 PER between the hours of 6:00 p.m. and 6:00 a.m.,
Night Person,P,24,"Human, Ghoul",3,Gain +3 INT and +3 PER between the hours of 6:00 p.m. and 6:00 a.m.,
Number Cruncher,P,40,"Human, Ghoul",3,Your weapons have 2% increased damage per AP cost.,00005272
Pannapictagraphist,P,12,"Human, Ghoul",1,You hear directional audio when in range of a Magazine.,0051ABCA
Percepti-Bobble,P,16,"Human, Ghoul",1,You hear directional audio when in range of a Bobblehead.,0051ABCB
Picklock,P,5,"Human, Ghoul",1,"Gain +1 lockpicking skill, and the lockpicking 'sweet spot' is 10% larger.",0003C969
Picklock Expert,P,19,"Human, Ghoul",1,"Gain +1 lockpicking skill, and the lockpicking 'sweet spot' is 10% larger.",0032CB33
Picklock Master,P,40,"Human, Ghoul",1,"Gain +1 lockpicking skill, and the lockpicking 'sweet spot' is 10% larger.",0032CB34
Rad-Reaver,P,100,Ghoul,2,Dealing Melee damage provides a small amount of Glow. (No Power Tools),007AD43B
Refractor,P,32,"Human, Ghoul",2,Gain Energy Resistance based on your PER.,003701C5
Scoped-up,P,15,"Human, Ghoul",2,Your scoped weapons have 50% more range when aiming.,002EBD2B
Skeet Shooter,P,10,"Human, Ghoul",1,Your small guns have 45% better accuracy and spread.,00322353
Smart Shot,P,35,"Human, Ghoul",3,Deal +25% weak spot damage while aiming a scoped weapon.,002EBD31
Sniper,P,28,"Human, Ghoul",1,Gain improved control and hold your breath 75% longer while aiming scopes.,0025A7A2
Tank Killer,P,30,"Human, Ghoul",1,Your ranged weapons ignore 20% armor.,001D6251
Tank Killer,P,30,"Human, Ghoul",2,Your ranged weapons ignore 40% armor.,
Tormentor,P,37,"Human, Ghoul",2,You deal 20% more damage per crippled limb your target has.,000907DE
Adamantium Skeleton,E,21,"Human, Ghoul",1,Gain Limb Damage Reduction based on your END.,0035B80E
All Night Long,E,41,"Human, Ghoul",2,The positive effects of pre-war alcohol last twice as long.,00393F54
Aquaboy/Aquagirl,E,26,"Human, Ghoul",1,You no longer take Rad damage from swimming and can breathe underwater.,003701A9
Bloodsucker,E,11,"Human, Ghoul",1,"Bloodpacks and Cannibal now satisfy thirst, no longer irradiate, and heal twice as much.",003879A6
Bullet Shield,E,39,"Human, Ghoul",1,Gain 5% Deflect chance for 6 sec when firing a heavy gun.,00320162
Bullet Shield,E,39,"Human, Ghoul",2,Gain 10% Deflect chance for 6 sec when firing a heavy gun.,
Bullet Shield,E,39,"Human, Ghoul",3,Gain 15% Deflect chance for 6 sec when firing a heavy gun.,
Bullet Shield,E,39,"Human, Ghoul",4,Gain 20% Deflect chance for 6 sec when firing a heavy gun.,
Cannibal,E,15,"Human, Ghoul",1,"Eating human, Ghoul, Super Mutant, Scorched, or Mole Miner corpses restores Health and hunger.",003701B7
Chem Diet,E,55,Ghoul,1,Chems are 25% more effective at reducing how feral you are.,00799AFF
Chem Diet,E,55,Ghoul,2,Chems are 50% more effective at reducing how feral you are.,
Chem Diet,E,55,Ghoul,3,Chems are 75% more effective at reducing how feral you are.,
Chem Fiend,E,23,"Human, Ghoul",2,Any chems you take last 100% longer.,0025A6B0
Chem Resistant,E,43,Human,1,You're half as likely to get addicted when consuming Chems.,003777F8
Chem Resistant,E,43,Human,2,You gain complete immunity to chem addiction.,
Cola Nut,E,14,"Human, Ghoul",1,Nuka-Cola drinks are now twice as beneficial.,00393F4D
Cola Nut,E,14,"Human, Ghoul",2,Nuka-Cola drinks are now three times as beneficial.,
Dromedary,E,3,Human,1,All drinks quench thirst by an additional 50%.,0013130F
Dromedary,E,3,Human,2,All drinks quench thirst by an additional 100%.,
Fireproof,E,27,"Human, Ghoul",1,Take 15% less damage from explosions and flame attacks.,00393F58
Fireproof,E,27,"Human, Ghoul",2,Take 30% less damage from explosions and flame attacks.,
Fireproof,E,27,"Human, Ghoul",3,Take 45% less damage from explosions and flame attacks.,
Ghoulish,E,36,Human,1,Radiation now regenerates your lost Health.,0025A808
Ghoulish,E,36,Human,2,Radiation now regenerates more of your lost Health.,
Ghoulish,E,36,Human,3,Radiation now regenerates even more of your lost Health!,
Glowing Gut,E,80,Ghoul,1,Irradiated food and drink grant 100% more rads.,00797E13
Glowing Gut,E,80,Ghoul,2,Irradiated food and drink grant 200% more rads.,
Glowing Gut,E,80,Ghoul,3,Irradiated food and drink grant 300% more rads.,
Good Doggy,E,8,"Human, Ghoul",1,Eating dog food is now three times as beneficial.,00393F5C
Homebody,E,19,"Human, Ghoul",1,"While in a C.A.M.P. or Workshop, gain HP & Limb regen. Improve benefits of being well rested",00393F71
Hydro Fix,E,11,Human,1,Chems restore thirst.,002AADA4
Hydro Fix,E,11,Human,2,Chems restore twice as much thirst.,
Iron Stomach,E,4,Human,1,Increased Damage and Energy Resistance based on END while not diseased.,001870F2
Ironclad,E,30,"Human, Ghoul",1,Armor provides 15% more protection. Double if wearing a matching set.,000907D6
Ironclad,E,30,"Human, Ghoul",2,Armor provides 20% more protection. Double if wearing a matching set.,
Ironclad,E,30,"Human, Ghoul",3,Armor provides 25% more protection. Double if wearing a matching set.,
Lead Belly,E,2,Human,1,You take less radiation from eating or drinking based on your END.,0025A7A0
LifeGiver,E,50,"Human, Ghoul",2,Gain more max HP per point in END.,0000BB40
Munchy Resistance,E,17,Human,1,Chems restore hunger.,00393F79
Munchy Resistance,E,17,Human,2,Chems restore twice as much hunger.,
Natural Resistance,E,10,Human,1,Increased Elemental Resistances based on END while not diseased.,002BA546
Nocturnal Fortitude,E,29,"Human, Ghoul",1,Gain +20 to Max Health between the hours of 6:00 p.m. and 6:00 a.m.,0025A29B
Nocturnal Fortitude,E,29,"Human, Ghoul",2,Gain +40 to Max Health between the hours of 6:00 p.m. and 6:00 a.m.,
Photosynthetic,E,47,"Human, Ghoul",1,Gain Health regen between the hours of 6:00 a.m. and 6:00 p.m.,002DB86E
Photosynthetic,E,47,"Human, Ghoul",2,Gain improved Health regen between the hours of 6:00 a.m. and 6:00 p.m.,
Professional Drinker,E,39,"Human, Ghoul",2,There's no chance you'll get addicted to alcohol.,000907E6
Rad Resistant,E,34,Human,1,Gain Radiation Resistance based on your END.,003701C6
Rad Sponge,E,44,Human,2,Absorb 20% of RADs taken and restore Hunger and Thirst.,003808AF
Radiation Power,E,50,Ghoul,1,Expend a small amount of Glow per hit to deal 10% bonus damage to targets.,00797E12
Radiation Power,E,50,Ghoul,2,Expend a small amount of Glow per hit to deal 15% bonus damage to targets.,
Radiation Power,E,50,Ghoul,3,Expend a small amount of Glow per hit to deal 20% bonus damage to targets.,
Radicool,E,38,Human,1,"The greater your Rads, the greater your Strength (max +5 STR)!",00393F7D
Rejuvenated,E,12,Human,1,You gain increased benefits from being Well Fed or Hydrated.,003DE593
Rejuvenated,E,12,Human,2,Benefits of being Well Fed or Hydrated are further increased when you have less than 10% RADS.,
Slow Metabolizer,E,5,Human,1,All food satisfies hunger by an additional 50%.,0003D963
Slow Metabolizer,E,5,Human,2,All food satisfies hunger by an additional 100%.,
Solar Powered,E,22,"Human, Ghoul",1,Gain +1 to STR and END between the hours of 6:00 a.m. and 6:00 p.m.,002DB86B
Solar Powered,E,22,"Human, Ghoul",2,Gain +2 to STR and END between the hours of 6:00 a.m. and 6:00 p.m.,
Solar Powered,E,22,"Human, Ghoul",3,Gain +3 to STR and END between the hours of 6:00 a.m. and 6:00 p.m.,
Starched Genes,E,30,"Human, Ghoul",1,You will never mutate from rads and RadAway will never cure mutations.,00397CB2
Sun Kissed,E,45,Human,1,Slowly regen radiation damage between the hours of 6:00 a.m. and 6:00 p.m.,00393F75
Sun Kissed,E,45,Human,2,Quickly regen radiation damage between the hours of 6:00 a.m. and 6:00 p.m.,
Thick Skin,E,60,Ghoul,1,You take 4% less damage from Ballistic attacks. (No Power Armor),00797E07
Thick Skin,E,60,Ghoul,2,You take 6% less damage from Ballistic attacks. (No Power Armor),
Thick Skin,E,60,Ghoul,3,You take 10% less damage from Ballistic attacks. (No Power Armor),
Thirst Quencher,E,6,Human,1,Increased Max AP based on END while not diseased.,002BA564
Thru-hiker,E,7,"Human, Ghoul",1,Food and drink weights are reduced by 45%.,0025A7E0
Thru-hiker,E,7,"Human, Ghoul",2,Food and drink weights are reduced by 90%.,
Vaccinated,E,16,Human,1,Increased Disease Resistance based on END.,0032DA6B
Animal Friend,C,30,"Human, Ghoul",1,Aim your gun at an Animal for a 25% chance to pacify it.,003A4A4D
Animal Friend,C,30,"Human, Ghoul",2,Aim your gun at an Animal for a 50% chance to pacify it.,
Animal Friend,C,30,"Human, Ghoul",3,Aim your gun at an Animal for a 75% chance to pacify it.,
Anti-Epidemic,C,34,"Human, Ghoul",1,Your disease cures have a 50% chance to cure a disease on nearby teammates.,00505BD1
Anti-Epidemic,C,34,"Human, Ghoul",2,Your disease cures always cure a disease from nearby teammates too.,
Bodyguards,C,5,"Human, Ghoul",1,Gain Damage & Energy Resistance based on your CHA and number of teammates.,00310BF8
E.M.T.,C,9,"Human, Ghoul",2,Automatically revive downed teammates once every 3 minutes and grant them increased healing for 1 minute.,0018731C
Feral Presence,C,80,Ghoul,1,"While Feral, Reduce your target's damage output by 15% after you attack for 5 seconds.",00797E08
Feral Presence,C,80,Ghoul,2,"While Feral, Reduce your target's damage output by 30% after you attack for 5 seconds.",
Friendly Fire,C,48,"Human, Ghoul",1,Teammates hit by your flame weapons regen health briefly (no grenades).,003E996E
Friendly Fire,C,48,"Human, Ghoul",2,Teammates hit by your flame weapons regen more health briefly (no grenades).,
Friendly Fire,C,48,"Human, Ghoul",3,Teammates hit by your flame weapons regen even more health (no grenades).,
Glowing One,C,50,Ghoul,1,Holding Large amounts of Glow provides Glow to nearby ghouls on your team.,007AEE34
Glowing One,C,50,Ghoul,2,Holding Large amounts of Glow provides greater Glow to nearby ghouls on your team.,
Happy Camper,C,3,Human,1,Hunger and thirst grow 40% slower when in camp or in a team workshop.,003808C5
Happy Camper,C,3,Human,2,Hunger and thirst grow 80% slower when in camp or in a team workshop.,
Happy-Go-Lucky,C,17,"Human, Ghoul",1,Your Luck is increased by 2 while under the influence of alcohol.,000907EB
Happy-Go-Lucky,C,17,"Human, Ghoul",2,Your Luck is increased by 3 while under the influence of alcohol.,
Hard Bargain,C,7,"Human, Ghoul",1,Gain 7 CHA when bartering at non-player vendors.,0039CF9B
Healing Hands,C,28,"Human, Ghoul",1,Players you revive are fully healed.,0038AB8C
Injector,C,19,"Human, Ghoul",1,Players you revive have +18 Action Point regen for 1 minute.,0038AB8D
Inspirational,C,2,"Human, Ghoul",1,Gain more XP while on a team based on your CHA.,0008D247
Lone Wanderer,C,4,"Human, Ghoul",2,Gain Resistances and AP Regen based on your CHA while not on a team.,0008AD53
Magnetic Personality,C,13,"Human, Ghoul",1,"Gain 1 Charisma for each teammate, excluding yourself.",00323F96
Magnetic Personality,C,13,"Human, Ghoul",2,"Gain 2 Charisma for each teammate, excluding yourself.",
